Rollercoaster,Amusement_Park,Air_Time_Hills,Angle_Descent,Capacity_ride_hour,Category_1,Category_2,Drop_feet,Former_Name_1,Former_Name_2,Former_Name_3,G_force,Inversion_Type1,Inversion_Type2,Inversion_Type3,Inversion_Type4,Inversion_Type5,Inversion_Type6,Inversion_Type7,Inversion_Type8,Inversion_Type9,Inversion_Type10,Launch_Times,Length,Manufacturer,Max_Height_feet,Max_Height_to_ride_cm,Max_Height_to_ride_in,Min_Height_to_ride_cm,Min_Height_to_ride_in,Number_Inversions,Photo_URL,Riders_per_train,Thrill_Level,Time_minutes,Top_Speed_mph,Track,cars_per_train,Type,Upside_down,Video_URL,Year_Built
Anaconda,Kings Dominion,,,1400,,,144,,,,,Vertical Loop,Sidewinder,Double Corkscrew,,,,,,,,,2700,Arrow Dynamics,128,,,,48,4,,,Extreme,1:50,50,Steel,7,Multielement,,https://youtu.be/UlpJHy7omEQ,1991
Dominator,Kings Dominion,,57,,Floorless,,148,,,,3.8,Vertical loop,Cobra roll,Iterlocking corkscrews,,,,,,,,,4210,Bolliger & Mabillard,161,,,,54,5,,,Extreme,2:06,65,Steel,8,"Floorless, Multielement",,https://youtu.be/nvpznC6mtzo,2008
Backlot Stunt Coaster,Kings Dominion,,,,,,31,Italian Job Turbo Coaster,,,,,,,,,,,,,,2,1960,Premier Rides,45,,,,48,0,,,Thrill,1:04,40,Steel,3,Launched Freefom,,https://youtu.be/Q6sGjLBVCVA,2006
Flight of Fear,Kings Dominion,,,2000,,,,Outer Limits Flight of Fear,,,4.5,Cobra Roll,Sidewinder,Corkscrew,,,,,,,,,"2,705",Premier Rides,78,,,,54,4,,,Extreme,2:24,54,Steel,5,Indoor Launched Multielement,,,1996
Intimidaor 305,Kings Dominion,,85,1350,Giga Coaster,,300,,,,,,,,,,,,,,,,5100,Intamin AG,305,,78,,54,0,,,Extreme,3,90,Steel,8,Hypercoaster,,https://youtu.be/BMsCxLsmHmE,2010
Racer 75,Kings Dominion,,50,1200,Sit Down,,85,Rebel Yell,,,,,,,,,,,,,,,"3,369",John C. Allen and the Philadelphia Toboggan Company,86,,,,48,0,,,Extreme,2:15,56,Wood,5,"Dual Track, Out and Back",,https://youtu.be/y5gG9UZqBUw,1975
Apple Zapple,Kings Dominion,,,,Sit Down,,50,Ricochet,,,,,,,,,,,,,,,1312,Mack,52,,54,,44,0,,960,Thrill,3,35,Steel,,Wild Mouse,,,2002
Twisted Timbers,Kings Dominion,20,,,Sit Down,Hybrid,109 feet,,,,,Barrel Roll,Cutback,Zero-G Roll,,,,,,,,,3361,Rocky Mountain Construction,111,,,,48,3,,,Extreme,,54,Steel,6,Multielement Hybrid,x,https://youtu.be/DOF_cYeb5lM,2018
Grizzly,Kings Dominion,,,,Sit Down,,78,,,,,,,,,,,,,,,,3150,"Taft Attractions, Philadelphia Toboggan Co.",87,,,,44,0,,,Extreme,2:30,51,Wood,7,Double Out and Back,,,1982
Woodstock Express,Kings Dominion,,,1200,Sit Down,,35,Scooby Doo,Scooby Doo's Ghoster Coaster,Ghoster Coaster,,,,,,,,,,,,,1385,"John Allen, Philadelphia Toboggan Co.",38,,,,40,0,,20,Family,1:50,35,Wood,5,Junior Double Out and Back,,,1974
Avalance,Kings Dominion,,,,Bobsled,,,,,,,,,,,,,,,,,,1906,Mack,60,,,,40,0,,,Thrill,,41,Steel,8,Bobsled,,,1988
Great Pumpkin Coaster,Kings Dominion,,,,Sit Down,,8,Taxi Jam Coaster,,,,,,,,,,,,,,,205,"Miller Coaster, Inc.",8,,,,36,0,,12,Family,,,Steel,6,Junior Oval,,,1997
